,1 um,2.5 um,4 um,10 um,2.5/10,1/10
Background,0.004330860427044876,0.004415526411549948,0.0044173376451004725,0.0044173376451004725,0.9995899716761445,0.980423226612185
Increase,0.06346240744600465,0.0700540262793229,0.07069942077842542,0.07117019215054336,0.9843169473413886,0.8916992567866789
2024-10-17 10:20:00,0.20436246558238821,0.22834801540767855,0.23010603007598993,0.2305793834454044,0.9903227773256051,0.886299818000755
2024-10-17 10:30:00,0.21548915976251448,0.24042741325434014,0.24220169066815095,0.24260653322580147,0.9910178842157018,0.8882248837130532
2024-10-17 10:40:00,0.21802526534728991,0.24287878344372885,0.24463193393734928,0.24498719726047072,0.9913937795920813,0.8899455472992949
2024-10-17 10:50:00,0.21641883843973056,0.24076438786164023,0.24249758669632898,0.24283692058049405,0.9914653310793947,0.8912106030762872
2024-10-17 11:00:00,0.211709198157242,0.23511440541976586,0.23677900711971311,0.23709144720809042,0.991661269052066,0.8929432109435356
2024-10-17 11:10:00,0.20410296524010926,0.22634225699923002,0.22793045162144435,0.22822098380444525,0.9917679488805243,0.894321643162305
2024-10-17 11:20:00,0.19459094052633105,0.21553373300100062,0.21702578060644662,0.21729578083681114,0.9918910168019608,0.8955118216145604
2024-10-17 11:30:00,0.18439337639658268,0.2039928228905464,0.20538204713427766,0.20563184026754874,0.9920293599723184,0.8967160735257119
2024-10-17 11:40:00,0.17413414861641816,0.19244361596770673,0.1937327963698208,0.19396412457225776,0.9921608771317678,0.8977647232467862
2024-10-17 11:50:00,0.16431299220518789,0.1814571279312593,0.18265780727832798,0.18287366944386596,0.9922539886856621,0.8985054694034268
2024-10-17 12:00:00,0.1507381934670365,0.16609726976062464,0.16716001043276474,0.16733681974708994,0.9925924850948001,0.9008070889291412
