,1 um,2.5 um,4 um,10 um,2.5/10,1/10
Background,0.4414049653619337,0.6456245936850112,0.7046401664758498,0.7046401664758498,0.916247220072628,0.6264260630635821
Increase,19.38968790582165,179.423816678876,366.091591015553,427.18629332302146,0.4200130469616982,0.04538930253354344
2024-10-17 10:20:00,65.73146518311941,779.9993173748481,1706.5170826288522,1844.046287068286,0.42298250474770455,0.035645236046444935
2024-10-17 10:30:00,73.94320514129271,887.197161562847,1972.1350568738972,2137.5162599642713,0.4150598422010023,0.034593049197449696
2024-10-17 10:40:00,79.66105219849642,957.6766966586993,2135.1423538718564,2322.462503365436,0.4123539972210308,0.03430025332295403
2024-10-17 10:50:00,83.7193370036815,1001.5787935640127,2221.4876100982137,2424.539108423763,0.41310069616289147,0.03453000065571595
2024-10-17 11:00:00,86.3401663996024,1021.3108083443163,2244.695425973536,2453.428690493439,0.41627898634335614,0.035191634765727585
2024-10-17 11:10:00,87.91732342020521,1019.9623359045135,2224.1888469511273,2434.1172289714063,0.41902761451449183,0.03611877126286015
2024-10-17 11:20:00,88.03869672219449,1001.4285124947338,2164.1029490820315,2366.696359531251,0.4231334993446634,0.037198982610355424
2024-10-17 11:30:00,87.04570832144319,973.1422451419824,2082.037234195831,2274.341680777258,0.42787864873909814,0.038272924889498246
2024-10-17 11:40:00,85.24238602738698,937.5577989336994,1987.2563370274247,2167.501549295475,0.4325523085501108,0.03932748562744704
2024-10-17 11:50:00,82.9907579973709,899.5466003405666,1890.1728355480489,2058.9904950305167,0.4368872039534278,0.04030652797945086
2024-10-17 12:00:00,82.26359941195248,874.1275892674552,1811.15627835475,1973.1525890503817,0.44301063897351506,0.04169145349855758
