,2024-09-17 LCS0076 time start,2024-09-17 LCS0076 time end,2024-09-17 LCS0076,2024-09-17 LCS0104 time start,2024-09-17 LCS0104 time end,2024-09-17 LCS0104
0,2024-09-17 11:36:00,2024-09-17 00:00:00,,2024-09-17 11:36:00,2024-09-17 11:48:00,50.38725761766614
1,2024-09-17 11:54:00,2024-09-17 12:01:00,76.3871032639375,2024-09-17 11:54:00,2024-09-17 12:01:00,60.10201028206206
2,2024-09-17 12:39:00,2024-09-17 12:50:00,89.38103111193408,2024-09-17 12:39:00,2024-09-17 00:00:00,
3,2024-09-17 12:56:00,2024-09-17 13:11:00,99.8959809938473,2024-09-17 12:56:00,2024-09-17 13:11:00,90.83891607431573
4,2024-09-17 13:30:00,2024-09-17 13:45:00,58.27546385538222,2024-09-17 00:00:00,2024-09-17 13:45:00,18.217339345411432
5,2024-09-17 13:48:00,2024-09-17 14:03:00,84.2698712593739,2024-09-17 13:48:00,2024-09-17 14:03:00,65.20636170971316
6,2024-09-17 14:06:00,2024-09-17 14:21:00,72.43291743826526,2024-09-17 14:06:00,2024-09-17 14:21:00,82.10326782830856
7,2024-09-17 14:25:00,2024-09-17 14:40:00,57.098261453427725,2024-09-17 14:24:00,2024-09-17 14:39:00,55.12145133807516
8,2024-09-17 14:44:00,2024-09-17 14:59:00,94.8738480612787,2024-09-17 14:42:00,2024-09-17 14:57:00,105.10883092624526
9,2024-09-17 14:59:00,2024-09-17 15:14:00,83.89489445463734,2024-09-17 15:00:00,2024-09-17 15:15:00,89.04970541914723
10,2024-09-17 15:16:00,2024-09-17 15:31:00,77.55989266131805,2024-09-17 15:18:00,2024-09-17 15:32:00,80.68067532210227
11,2024-09-17 15:40:00,2024-09-17 15:49:00,74.01912512777832,2024-09-17 15:40:00,2024-09-17 15:49:00,76.01969563354615
12,2024-09-17 00:00:00,2024-09-17 16:23:00,27.7193281851125,2024-09-17 16:06:00,2024-09-17 16:21:00,55.016582143069236
13,2024-09-17 16:25:00,2024-09-17 16:40:00,56.87038994451821,2024-09-17 16:22:00,2024-09-17 16:37:00,46.73218576892203
14,2024-09-17 00:00:00,2024-09-17 16:56:00,28.73248411159218,2024-09-17 00:00:00,2024-09-17 16:55:00,28.097576398871762
15,2024-09-17 17:00:00,2024-09-17 17:15:00,57.01231587483713,2024-09-17 16:58:00,2024-09-17 00:00:00,
16,2024-09-17 17:18:00,2024-09-17 17:33:00,83.46476023608835,2024-09-17 17:16:00,2024-09-17 17:31:00,82.18909559595333
17,2024-09-17 17:33:00,2024-09-17 17:48:00,85.11783163126735,2024-09-17 00:00:00,2024-09-17 00:00:00,
18,2024-09-17 18:15:00,2024-09-17 18:30:00,75.18401946452832,2024-09-17 18:15:00,2024-09-17 18:26:00,73.65865427685456
