,2024-09-19 LCS0076 time start,2024-09-19 LCS0076 time end,2024-09-19 LCS0076,2024-09-19 LCS0104 time start,2024-09-19 LCS0104 time end,2024-09-19 LCS0104
0,2024-09-19 12:41:00,2024-09-19 12:45:00,35.647548879474,2024-09-19 12:41:00,2024-09-19 12:45:00,24.76770522280706
1,2024-09-19 12:45:00,2024-09-19 12:55:00,24.427785636876777,2024-09-19 12:45:00,2024-09-19 12:55:00,20.299094018906118
2,2024-09-19 13:09:00,2024-09-19 13:50:00,124.12470309223264,2024-09-19 13:09:00,2024-09-19 13:50:00,105.63989885282767
3,2024-09-19 13:56:00,2024-09-19 14:11:00,63.46141286683237,2024-09-19 13:56:00,2024-09-19 14:11:00,55.60144888789026
4,2024-09-19 14:15:00,2024-09-19 14:30:00,86.4602542499224,2024-09-19 00:00:00,2024-09-19 14:30:00,18.518371946598165
5,2024-09-19 13:34:00,2024-09-19 14:50:00,93.1930340424836,2024-09-19 13:34:00,2024-09-19 14:50:00,92.14539089330587
6,2024-09-19 14:54:00,2024-09-19 15:10:00,83.81210882905971,2024-09-19 14:54:00,2024-09-19 15:10:00,78.69887221098773
7,2024-09-19 15:55:00,2024-09-19 16:10:00,149.23738395296957,2024-09-19 15:55:00,2024-09-19 16:10:00,123.86526554366112
8,2024-09-19 16:13:00,2024-09-19 16:29:00,145.44995620922816,2024-09-19 16:13:00,2024-09-19 16:29:00,174.07368686416535
9,2024-09-19 16:51:00,2024-09-19 17:08:00,125.65216360382588,2024-09-19 16:51:00,2024-09-19 17:08:00,105.78815279049873
10,2024-09-19 16:31:00,2024-09-19 16:48:00,141.97320084096566,2024-09-19 16:31:00,2024-09-19 16:48:00,135.98294588703808
