,2024-09-19 LCS0076 time start,2024-09-19 LCS0076 time end,2024-09-19 LCS0076,2024-09-19 LCS0104 time start,2024-09-19 LCS0104 time end,2024-09-19 LCS0104
0,2024-09-19 12:41:00,2024-09-19 12:45:00,35.82306610684709,2024-09-19 12:41:00,2024-09-19 12:45:00,24.877131196352764
1,2024-09-19 12:45:00,2024-09-19 12:55:00,24.528883559843674,2024-09-19 12:45:00,2024-09-19 12:55:00,20.428101482454743
2,2024-09-19 13:09:00,2024-09-19 13:50:00,124.91102027086406,2024-09-19 13:09:00,2024-09-19 13:50:00,106.47755148073023
3,2024-09-19 13:56:00,2024-09-19 14:11:00,63.6448868751797,2024-09-19 13:56:00,2024-09-19 14:11:00,55.71356251692657
4,2024-09-19 14:15:00,2024-09-19 14:30:00,86.56509654040657,2024-09-19 00:00:00,2024-09-19 14:30:00,18.634175445716245
5,2024-09-19 13:34:00,2024-09-19 14:50:00,93.51211927439202,2024-09-19 13:34:00,2024-09-19 14:50:00,92.41130423653874
6,2024-09-19 14:54:00,2024-09-19 15:10:00,83.979727781201,2024-09-19 14:54:00,2024-09-19 15:10:00,78.87236997167533
7,2024-09-19 15:55:00,2024-09-19 16:10:00,149.39839175621313,2024-09-19 15:55:00,2024-09-19 16:10:00,124.01336084620418
8,2024-09-19 16:13:00,2024-09-19 16:29:00,145.62126102314429,2024-09-19 16:13:00,2024-09-19 16:29:00,174.2330264396793
9,2024-09-19 16:51:00,2024-09-19 17:08:00,125.96685566796305,2024-09-19 16:51:00,2024-09-19 17:08:00,105.9439916382728
10,2024-09-19 16:31:00,2024-09-19 16:48:00,142.16069453797127,2024-09-19 16:31:00,2024-09-19 16:48:00,136.2417738863846
